QtlID	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId	tableId
PMC4321030_TABLE 4_0_33	CD	CD		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_34	HAB	HAB		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_35	HAB	HAB		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_36	H	H		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_37	H	H		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_38	W	W		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_39	W	W		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_40	SH	SH		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_41	SH	SH		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_42	SZ	SZ		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_43	SZ	SZ		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_44	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_45	Days to 1st ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_46	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_47	Days to 50% ripe fruit	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_48	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_49	Fruit height	fruit length	http://purl.obolibrary.org/obo/TO_0002626	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
