entity_uri ,entity_name 
http://purl.obolibrary.org/obo/PO_0009031 ,sepal 
http://purl.obolibrary.org/obo/PO_0025016 ,sporophyll margin 
http://purl.obolibrary.org/obo/PO_0025488 ,flower bract primordium 
http://purl.obolibrary.org/obo/PO_0002000 ,stomatal complex 
http://purl.obolibrary.org/obo/PO_0006438 ,lower glume of sessile spikelet of ear 
http://purl.obolibrary.org/obo/PO_0020048 ,microspore 
http://purl.obolibrary.org/obo/PO_0007101 ,LP.09 nine leaves visible stage 
http://purl.obolibrary.org/obo/PO_0007083 ,LP.13 thirteen leaves visible stage 
http://purl.obolibrary.org/obo/PO_0006068 ,sepal parenchyma 
http://purl.obolibrary.org/obo/PO_0000290 ,tracheary element 
http://purl.obolibrary.org/obo/PO_0025338 ,collective plant organ structure development stage 
http://purl.obolibrary.org/obo/PO_0007018 ,BO.01 early boot stage 
http://purl.obolibrary.org/obo/PO_0007059 ,3 branch formation stage 
http://purl.obolibrary.org/obo/PO_0006353 ,lower floret of pedicellate spikelet of ear 
http://purl.obolibrary.org/obo/PO_0001055 ,lemma primordia visible stage 
http://purl.obolibrary.org/obo/PO_0000232 ,axillary bud meristem 
http://purl.obolibrary.org/obo/PO_0025449 ,secondary xylem vessel member 
