 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/PO_0008026" , "petiole distal end" , "petiole apex" ,
 "http://purl.obolibrary.org/obo/PO_0000229" , "flower meristem" , "floral apical meristem" ,
 "http://purl.obolibrary.org/obo/PO_0006067" , "cambium-like transitional zone" , "adaxial meristem" ,
 "http://purl.obolibrary.org/obo/PO_0006067" , "cambium-like transitional zone" , "leaf meristem" ,
 "http://purl.obolibrary.org/obo/PO_0006067" , "cambium-like transitional zone" , "ventral meristem" ,
 "http://purl.obolibrary.org/obo/PO_0007618" , "carpel primordium visible stage" , "ovule stage OV0" ,
 "http://purl.obolibrary.org/obo/PO_0000284" , "subsidiary cell" , "accessory cell" ,
 "http://purl.obolibrary.org/obo/PO_0007624" , "B meiosis of megaspore mother cell stage" , "ovule stage OV4" ,
 "http://purl.obolibrary.org/obo/PO_0007624" , "B meiosis of megaspore mother cell stage" , "ovule stage 2-IV in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007070" , "SE.08 eight nodes or internodes visible stage" , "BBCH growth stage 38" ,
 "http://purl.obolibrary.org/obo/PO_0007070" , "SE.08 eight nodes or internodes visible stage" , "3.3 mid-vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007070" , "SE.08 eight nodes or internodes visible stage" , "3.08 8 nodes/internodes visible in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007501" , "root cap formation stage" , "root cap formation in crown root." ,
 "http://purl.obolibrary.org/obo/PO_0007501" , "root cap formation stage" , "root cap formation in lateral root." ,
 "http://purl.obolibrary.org/obo/PO_0007501" , "root cap formation stage" , "root cap formation in primary root." ,
 "http://purl.obolibrary.org/obo/PO_0007048" , "IE.01 1/4 of inflorescence emerged from flag leaf sheath stage" , "6.02-1/4 of inflorescence emerged in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007048" , "IE.01 1/4 of inflorescence emerged from flag leaf sheath stage" , "6.02-1/4 of inflorescence emerged in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007048" , "IE.01 1/4 of inflorescence emerged from flag leaf sheath stage" , "Zadok scale-53, Feekes scale-10.2" ,
 "http://purl.obolibrary.org/obo/PO_0007048" , "IE.01 1/4 of inflorescence emerged from flag leaf sheath stage" , "6.02-1/4 of inflorescence emerged in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007048" , "IE.01 1/4 of inflorescence emerged from flag leaf sheath stage" , "30% of panicle emerged in rice" ,
 "http://purl.obolibrary.org/obo/PO_0001380" , "sepals enclosing flower bud stage" , "stage 6 flower in Arabidopsis " ,
 "http://purl.obolibrary.org/obo/PO_0006342" , "infructescence" , "fruit bunch" ,
 "http://purl.obolibrary.org/obo/PO_0006004" , "upper glume" , "inner glume" ,
 "http://purl.obolibrary.org/obo/PO_0006004" , "upper glume" , "inner rudimentary glume" ,
 "http://purl.obolibrary.org/obo/PO_0006004" , "upper glume" , "upper empty glume" ,
 "http://purl.obolibrary.org/obo/PO_0006004" , "upper glume" , "inner empty glume" ,
 "http://purl.obolibrary.org/obo/PO_0006004" , "upper glume" , "upper rudimentary glume" ,
 "http://purl.obolibrary.org/obo/PO_0001180" , "plant proembryo stage" , "embryo stage EM2" ,
 "http://purl.obolibrary.org/obo/PO_0001180" , "plant proembryo stage" , "eight-celled stage in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0001180" , "plant proembryo stage" , "two-celled stage in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "megastrobili " ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "female cone" ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "hop cone " ,
